合并站名,站组ID,原始分站名,站点ID,经度,纬度
新滘东路总站,新滘东路总,新滘东路总站,BV10407112,113.351537,23.085923
新滘东路总站(龙潭村),新滘东路总站(龙潭村),新滘东路总站(龙潭村),BV10388638,113.331663,23.080833
新滘东隧道口,新滘东隧道口,新滘东隧道口,BV10022462,113.368149,23.092149
新滘中路(地铁龙潭站),新滘中路(地铁龙潭站),新滘中路站,BV11603078,113.336681,23.082011
新滘中路(地铁龙潭站),新滘中路(地铁龙潭站),新滘中路(地铁龙潭站),BV09344181,113.336681,23.082011
新滘中路(龙潭),新滘中路(龙潭),新滘中路(龙潭),BV10405651,113.336581,23.081835
新滘西路(瑞宝村),新滘西路(瑞宝村),新滘西路(瑞宝村),BV11011359,113.293544,23.080574
新滘西路口,新滘西路口,新滘西路口,BV09243519,113.275947,23.072648
新滘西路口,新滘西路口,新滘西路口2,BV09360317,113.275947,23.072648
新滘西路西,新滘西路西,新滘西路西,BV09242688,113.277711,23.075627
新田居委会,新田居委会,新田居委会,BV10018156,113.575275,23.305934
新田市场,新田市场,新田市场,BV09307914,113.195564,23.472363
新田村,新田村#1,新田村,BV10018157,113.577622,23.311243
新田村,新田村#2,新田村,BV10471814,113.201836,23.473904
新田村口,新田村口,新田村口,BV10018152,113.573087,23.29312
新田村委,新田村委,新田村委,BV11224109,113.681236,23.559902
新石一环路口,新石一环路口,新石一环路口,BV09032502,113.272226,23.256308
新石村,新石村,新石村,BV10655508,113.862807,23.387616
新社,新社,新社,BV11371462,113.063781,23.168764
新福大道中,新福大道中,新福大道中站,BV09237616,113.59596,23.293007
新科,新科,新科站,BV11690765,113.283958,23.259136
新科上村,新科上村,新科上村,BV10014473,113.294361,23.252288
新科工业区,新科工业区,新科工业区站,BV11098353,113.282631,23.25095
新约,新约,新约,BV10251695,113.134314,23.061527
新群,新群,新群,BV10775405,113.796369,23.756991
新翁祐中学,新翁祐中学,新翁祐中学,BV10255147,113.262308,22.876265
新耀北路中,新耀北路中,新耀北路中,BV09348349,113.614672,23.185006
新耀北路南,新耀北路南,新耀北路南,BV09175893,113.614024,23.170562
新老屋,新老屋,新老屋,BV11555488,113.641238,23.329992
